"solar_kg","tot_kg"
1588299469.78,26319930.7666594
1018399233.98,25670392.1103613
139219466.457,10939173.9097617
553289087.391,13512925.6549235
18107295373,41117355.0291776
466479549.13,17638321.1019326
55142985.913,15172418.1669817
1380853170.87,16894910.9937728
33928658.7609,19535755.2864067
6611918763.04,7990090.82745653
